,name,formula,mw,chebi,hmdb,kegg,lipidmaps,seed,metacyc,sabiork,reactome,mnxm,bigg
ppi,Diphosphate,HO7P2,174.9529,13420;18361;29888;33017;33018;33019;42009;45067;45208;45212;8683,HMDB00250,C00013,,cpd00012,PPI,1267,111294;1132084;113541;113542;159450;2046049;389593;6806656;8878981;8938078,MNXM11,ppi_c;M_ppi;ppi
ppmi12346p,5 Diphosphoinositol pentakisphosphate C6H6O27P7,C6H6O27P7,726.9191,12124;2119;30164;58628,HMDB06229,C11526,,cpd08361,5-DIPHOSPHO-1D-MYO-INOSITOL-12346P,,1629765;2023940,MNXM1715,ppmi12346p_c;M_ppmi12346p;ppmi12346p
ppp9,Protoporphyrin,C34H32N4O4,560.6434,14959;14960;14961;15430;26358;36159;57306;8592,HMDB00241,C02191,,cpd01476,PROTOPORPHYRIN_IX,6061,189463;189487,MNXM346,ppp9_m;M_ppp9;ppp9
pppg9,Protoporphyrinogen IX,C34H38N4O4,566.691,14962;15435;26359;26360;57307;8593,HMDB01097,C01079,,cpd00791,PROTOPORPHYRINOGEN,5384,189478,MNXM351,pppg9_c;M_pppg9;pppg9
pppi,Inorganic triphosphate,O10P3,252.918,18036;29203;39942;39949;48313;48314;48315;48316;5926;9744,HMDB03379;HMDB12282,C00536,,cpd00421,P3I,1681,,MNXM332,pppi_c;M_pppi;pppi
pram,5-Phospho-beta-D-ribosylamine,C5H11NO7P,228.1177,12161;20626;2123;37737;42834;58681,HMDB01128;HMDB02347;HMDB62576,C03090,,cpd01982,5-P-BETA-D-RIBOSYL-AMINE,1884,111292,MNXM90003,pram_c;M_pram;pram
pre_prot,Glycophosphatidylinositol (GPI)-anchored protein precursor,XY,,,,,,,,,,MNXM7401,pre_prot_r;M_pre_prot;pre_prot
prgnlone,Prgnlone c,C21H32O2,316.4776,14881;16581;26241;45027;8388;86573,HMDB00253,C01953;D00143,LMST02030088,cpd01342,PREGNENOLONE,5908,193103;193164,MNXM385,prgnlone_c;M_prgnlone;prgnlone
prgnlones,Pregnenolone sulfate,C21H31O5S,395.533,133000;35420,HMDB00774;HMDB60382,C18044,LMST05020014,cpd18027,,,176665,MNXM2275,prgnlones_c
prgstrn,Prgstrn c,C21H30O2,314.4617,14896;17026;18798;26269;28589;439;45786;8453,HMDB01830,C00410;D00066,LMST02030159,cpd00325,PROGESTERONE,5077,193055,MNXM307,prgstrn_c
prist,Pristanic acid,C19H37O2,,,,,,,,,,MNXM7698,prist_c;M_prist;prist
pristanal,Pristanal c,C19H38O,282.5044,49189,HMDB01958,,LMPR0104010012,,CPD-14674,,389636,MNXM1947,pristanal_c;M_pristanal;pristanal
pristcoa,"Pristanoyl-CoA; 2,6,10,14-tetramethylpentadecanoyl-CoA",C40H68N7O17P3S,,,,,,,,,,MNXM7699,pristcoa_c;M_pristcoa;pristcoa
pro__D,D-Proline,C5H9NO2,115.1305,13008;16313;21070;32867;32868;42012;42129;42213;4226;45156;45161;57726,HMDB03411,C00763,,cpd00567,D-PROLINE,2150,,MNXM976,pro__D_c
pro__L,L-Proline,C5H9NO2,115.1305,13154;17203;184637;21373;26271;32862;32864;32871;32872;42067;45040;45100;45159;58054;60039;6286,HMDB00162,C00148;C16435;D00035,,cpd00129;cpd15140,PRO,25536;82,113538;352033;379717,MNXM114,pro__L_c;M_pro__L;pro__L
progly,L-Prolinylglycine,C7H12N2O3,172.1818,61695;61696;73594,,,,cpd15551,CPD0-2182,,,MNXM7481,progly_c;M_progly;progly
prostg1,"(13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate",C20H31O5,351.4577,10823;145;15548;57401,HMDB01320;HMDB11598;HMDB62691,C04654,LMFA03010146,cpd02836,13E-11-ALPHA-HYDROXY-915-DIOXOPROST-1,25974,,MNXM3139,prostg1_c
prostgd2,Prostaglandin D2,C20H31O5,351.4577,10916;15555;246;26321;45044;57406,HMDB01403,C00696,LMFA03010004,cpd00527,5Z13E-15S-9-ALPHA15-DIHYDROXY-11-O,5189,2161634;879629,MNXM904,prostgd2_c
prostge1,Prostaglandin E1,C20H33O5,353.4736,10820;142;15544;26322;57397,HMDB01442,C04741;D00180,LMFA03010134,cpd02889,ALPROSTADIL,7532,,MNXM3344,prostge1_c
prostge2,Prostaglandin E2,C20H31O5,351.4577,10910;10911;114125;15551;26323;4625;606564;8512,HMDB01220,C00584;D00079,LMFA03010003,cpd00454,5Z13E-15S-1115-DIHYDROXY-9-OXOPROS,5145,265287,MNXM661,prostge2_c
prostgf2,Prostaglandin F2alpha,C20H33O5,353.4736,10913;15553;26327;57404;8516,,C00639;D00081,LMFA03010002,cpd00488,5Z13E-15S-9-ALPHA11-ALPHA15-TRIHY,22943;5165,879535,MNXM1001,prostgf2_c
prostgh2,Prostaglandin H2,C20H31O5,351.4577,10914;14909;15554;26330;57405;8520,HMDB01381,C00427,LMFA03010010,cpd00336,PROSTAGLANDIN-H2,5088,265283;30138,MNXM262,prostgh2_c
prostgi2,Prostaglandin I2,C20H31O5,351.4577,10912;15552;245;26331;57403,HMDB01335,C01312;D00106,LMFA03010087,cpd00960,5Z13E-15S-69-ALPHA-EPOXY-11-ALPHA,,31593,MNXM1197,prostgi2_c
prpncoa,Propenoyl-CoA,C24H34N7O17P3S,817.552,13722;15513;26301;57367;8488,HMDB02307;HMDB06507,,LMFA07050282;LMFA07050283,cpd00663,ACRYLYL-COA,2181,,MNXM650,prpncoa_m;M_pp2coa;M_prpncoa;pp2coa;prpncoa
prpp,5-Phospho-alpha-D-ribose 1-diphosphate,C5H8O14P3,385.0326,12159;12160;17111;20625;2121;45139;58017,HMDB00280;HMDB62643,C00119,,cpd00103,PRPP,1305,73566,MNXM91,prpp_c;M_prpp;prpp
ps_cho,Phosphatidylserine,C8H11NO10PR2,,11750;14801;18303;26041;57262;58436;64380;64388;64764;8137,HMDB14291,C02737,LMGP03010000,cpd11455;cpd29687,L-1-PHOSPHATIDYL-SERINE,6327,1500644;1500646;1602370,MNXM221,ps_cho_c;M_ps_cho;ps_cho
pser__L,O-Phospho-L-serine,C3H6NO6P,183.0577,12718;15811;21966;57524;7692,HMDB00272,C01005,,cpd00738,3-P-SERINE,2212,936706,MNXM379,pser__L_c;M_pser__L;pser__L
psyl,Psyllium,C9642006H15428700O8667414,,,,,,,,,,MNXM163567,psyl_e;M_psyl;psyl
psylchol,Psillium-glycocholic acid complex,C9642032H15428743NO8667420,,,,,,,,,,MNXM165091,psylchol_e;M_psylchol;psylchol
psyltchol,Psyllium-taurocholic acid complex,C9642032H15428745NO8667421S,,,,,,,,,,MNXM165092,psyltchol_e;M_psyltchol;psyltchol
psyltdechol,Psyllium-taurodeoxycholic acid complex,C9642032H15428744NO8667420S,,,,,,,,,,MNXM165093,psyltdechol_e;M_psyltdechol;psyltdechol
ptd2meeta_SC,phosphatidyldi-N-methylethanolamine_tomerge,C9H16NO8PR2,,14798;17152;26026;52332;64427;8125,,C04308,LMGP0201AB00,cpd12514,CPD-160,7224,,MNXM75100,ptd2meeta_SC_c;C04308;M_C04308;M_ptd2meeta_SC;ptd2meeta_SC
ptdca,Pentadecanoate  C150  C15H29O2,C15H29O2,241.3901,39108;42502;42504;78795,HMDB00826,C16537,LMFA01010015,cpd16351,CPD-8462,20868,,MNXM12597,ptdca_c
ptdcacoa,Pentadecanoyl Coenzyme A,C36H60N7O17P3S,,,,,,,,,,MNXM7627,ptdcacoa_c;M_ptdcacoa;ptdcacoa
ptdcacrn,Pendtadenoyl carnitine,C22H43NO4,,,,,,,,,,MNXM8995,ptdcacrn_c;M_ptdcacrn;ptdcacrn
ptrc,Putrescine,C4H14N2,90.1663,14972;17148;26405;326268;45092;8650,HMDB01414;HMDB60243,C00134,,cpd00118,PUTRESCINE,1941,141350;29610,MNXM118,ptrc_c;M_ptrc;ptrc
ptth,Pantetheine,C11H22N2O4S,278.368,14734;16753;25843;7913,HMDB03426,C00831,,cpd00620,CPD-511,5259,8938313,MNXM1154,ptth_c;M_ptth;ptth
pyam5p,Pyridoxamine 5'-phosphate,C8H12N2O5P,247.1656,14979;14980;18335;26427;45037;58451;8670,HMDB01555,C00647,,cpd00493,PYRIDOXAMINE-5P,1685,965146,MNXM366,pyam5p_c;M_pyam5p;pyam5p
pydam,Pyridoxamine,C8H13N2O2,169.2005,131533;14978;16410;26426;45228;57761;8669,HMDB01431;HMDB62696,C00534,,cpd00419,PYRIDOXAMINE,2080,964945,MNXM548,pydam_c;M_pydam;pydam
pydx,Pyridoxal,C8H9NO3,167.162,131530;14976;17310;26423;45112;8667,HMDB01545,C00250,,cpd00215,PYRIDOXAL,1991,965131,MNXM311,pydx_c;M_pydx;pydx
pydx5p,Pyridoxal 5'-phosphate,C8H8NO6P,245.1271,14977;18405;234571;26424;358848;45145;597326;8668,HMDB01491,C00018,,cpd00016,PYRIDOXAL_PHOSPHATE,1271,29390,MNXM161,pydx5p_c;M_pydx5p;pydx5p
pydxn,Pyridoxine,C8H11NO3,169.1778,14981;16709;26429;8671,HMDB00239;HMDB02075,C00314;D08454,,cpd00263,PYRIDOXINE,2015,965053,MNXM419,pydxn_c;M_pydxn;pydxn
pylald,Perillyl aldehyde,C10H14O,150.2176,14773;15421;25938;8023,HMDB03647;HMDB06315,C02576,LMPR0102090010,cpd01686,CPD-1084,,,MNXM2149,pylald_c
pyr,Pyruvate,C3H3O3,87.0547,14987;15361;26462;26466;32816;45253;8685,HMDB00243,C00022,LMFA01060077,cpd00020,PYRUVATE,33,1130930;113557;29398;389680;5357717,MNXM23,pyr_c;M_pyr;pyr
q10,Ubiquinone-10,C59H90O4,863.3435,46241;46245;9854,HMDB01072,C11378;D01065,LMPR02010001,cpd08232,UBIQUINONE-10,13447,,MNXM8440,q10_c;M_q10;q10
q10h2,Ubiquinol-10,C59H92O4,865.3594,64183,HMDB13111,,,cpd25915,CPD-9958,,2162198,MNXM9200,q10h2_c;M_q10h2;q10h2
quln,Quinolinate,C7H3NO4,165.1041,132942;14975;16675;26417;26418;29959;44529;46828;46832;46833;8663,HMDB00232,C03722,,cpd02333,QUINOLINATE,6817,197238,MNXM555,quln_c;M_quln;quln
r1p,Alpha-D-Ribose 1-phosphate,C5H9O8P,228.095,10269;12329;12330;16300;22412;45429;45482;57720,HMDB01489,C00620,,cpd00475,RIBOSE-1P,1337;1651,112016,MNXM295,r1p_c;M_r1p;r1p
r5p,Alpha-D-Ribose 5-phosphate,C5H9O8P,228.095,10270;12331;18189;22413,,C03736,,cpd19028,CPD-15318,1473,,MNXM15900,r5p_c;M_r5p;r5p
rbl__D,D-Ribulose,C5H10O5,150.1299,13016;17173;21086;4241,HMDB00621,C00309,,cpd00258,D-RIBULOSE,1500,,MNXM41271,rbl__D_c;M_rbl__D;rbl__D
rbt,Ribitol,,,48505,HMDB00508,C00474,,cpd00366,RIBITOL,2055;2786,,MNXM80887,rbt_c;M_rbt;rbt
retfa,Fatty acid retinol,C20H29OR2CO,,,,,,,,,,MNXM6266,retfa_c;M_retfa;retfa
retinal,All-trans-Retinal,C20H28O,284.4357,12776;15035;17898;22348;8814,HMDB01358,C00376,LMPR01090002,cpd00304,RETINAL,2031,2466098;5623648;975622,MNXM425,retinal_c;M_retinal;retinal
retinal_11_cis,11-cis-Retinal,C20H28O,284.4357,11311;16066;19119;727,HMDB02152,C02110,LMPR01090003,cpd01430,CPD-881,6007,32737,MNXM1793,retinal_11_cis_c;M_retinal_11_cis;retinal_11_cis
retinal_cis_13,Cis-13-retinal,C20H28O,,,,,,,,,,MNXM6641,retinal_cis_13_c;M_retinal_cis_13;retinal_cis_13
retinal_cis_9,Cis-9-retinal,C20H28O,,,,,,,,,,MNXM162775,retinal_cis_9_c;M_retinal_cis_9;retinal_cis_9
retinol,All-trans-Retinol,C20H30O,286.4516,12783;15037;17336;22349;26538;50211;8816,,C00473;D06543,LMPR01090001,cpd00365;cpd28098,CPD-13524;Retinols,5107,,MNXM162234,retinol_c;M_retinol;retinol
retinol_9_cis,9-cis-retinol,C20H30O,,,,,,,,,,MNXM162711,retinol_9_cis_c;M_retinol_9_cis;retinol_9_cis
retinol_cis_11,11-cis-Retinol,C20H30O,286.4516,11310;11312;16302;19120;728,HMDB03439;HMDB06216,C00899,LMPR01090005,cpd00667,CPD-882,5304,2473606;2473611;30927,MNXM870,retinol_cis_11_c
retinol_cis_13,Cis-13-retinol,C20H30O,,,,,,,,,,MNXM148158,retinol_cis_13_c;M_retinol_cis_13;retinol_cis_13
retn,Retinoate,C20H27O2,299.4277,15036;15367;26535;26536;35291;45376;8815,HMDB01852,C00777;D00094,LMPR01090019,cpd00577,RETINOATE,5231,215573;5334816,MNXM521,retn_c;M_retn;retn
retncoa,Retncoa c,C41H58N7O17P3S,,,,,,,,,,MNXM169005,retncoa_c;M_retncoa;retncoa
retnglc,Retinoyl glucuronide,C26H35O8,,,,,,,,,,MNXM91293,retnglc_c;M_retnglc;retnglc
rib__D,D-Ribose,C5H10O5,150.1299,13011;16988;21078;4233;46999;47013,HMDB00283,C00121;C21057,,cpd00105,D-Ribofuranose,1653,,MNXM242,rib__D_c;M_rib__D;rib__D
ribflv,Riboflavin C17H20N4O6,C17H19N4O6,375.3565,15044;17015;27299;45214;529204;57986;8843,HMDB00244,C00255;D00050,,cpd00220,RIBOFLAVIN,1996,196931;3165253,MNXM270,ribflv_c;M_ribflv;ribflv
rnam,N Ribosylnicotinamide C11H15N2O5,C11H15N2O5,255.2467,12527;15927;21786;47589;7337,HMDB00855,C03150,,cpd02016,NICOTINAMIDE_RIBOSE,,8869377;8936514;8940077,MNXM1115,rnam_c;M_rnam;rnam
ru5p__D,D-Ribulose 5-phosphate,C5H9O8P,228.095,13018;17363;21088;40192;4243;58121,HMDB00618;HMDB02033;HMDB02694,C00199,,cpd00171,RIBULOSE-5P,1313,29732,MNXM145,ru5p__D_c;M_ru5p__D;ru5p__D
s2l2fn2m2masn,PA6,C90H145N6O65X,,,,,,,,,,MNXM6369,s2l2fn2m2masn_e;M_s2l2fn2m2masn;s2l2fn2m2masn
s2l2n2m2m,De-Fuc form of PA6 (w/o peptide linkage),C84H136N6O62,,,,,,,,,,MNXM8517,s2l2n2m2m_c;M_s2l2n2m2m;s2l2n2m2m
s2l2n2m2masn,De-Fuc form of PA6,C84H135N6O61X,,,,,,,,,,MNXM7256,s2l2n2m2masn_e;M_s2l2n2m2masn;s2l2n2m2masn
s2l2n2m2mn,"De-Fuc, reducing GlcNAc removed form of PA6 (w/o peptide linkage)",C76H123N5O57,,,,,,,,,,MNXM7257,s2l2n2m2mn_c;M_s2l2n2m2mn;s2l2n2m2mn
s3l3fn3m2masn,S3l3fn3m2masn[g],X,,,,,,,,,,MNXM165128,s3l3fn3m2masn_g;M_s3l3fn3m2masn;s3l3fn3m2masn
s3l3fn3rm2masn,S3l3fn3rm2masn[g],X,,,,,,,,,,MNXM165129,s3l3fn3rm2masn_g;M_s3l3fn3rm2masn;s3l3fn3rm2masn
s3l3n3m2masn,S3l3n3m2masn[g],X,,,,,,,,,,MNXM165130,s3l3n3m2masn_g;M_s3l3n3m2masn;s3l3n3m2masn
s3l3n3rm2masn,S3l3n3rm2masn[g],X,,,,,,,,,,MNXM165131,s3l3n3rm2masn_g;M_s3l3n3rm2masn;s3l3n3rm2masn
s3lnl3fn3m2masn,S3lnl3fn3m2masn[g],X,,,,,,,,,,MNXM165132,s3lnl3fn3m2masn_g;M_s3lnl3fn3m2masn;s3lnl3fn3m2masn
s3lnl3n3m2masn,S3lnl3n3m2masn[g],X,,,,,,,,,,MNXM165133,s3lnl3n3m2masn_g;M_s3lnl3n3m2masn;s3lnl3n3m2masn
s4l2n2bdl4fn4m2masn,S4l2n2bdl4fn4m2masn[g],X,,,,,,,,,,MNXM165134,s4l2n2bdl4fn4m2masn_g;M_s4l2n2bdl4fn4m2masn;s4l2n2bdl4fn4m2masn
s4l2n2bdl4n4m2masn,S4l2n2bdl4n4m2masn[g],X,,,,,,,,,,MNXM165135,s4l2n2bdl4n4m2masn_g;M_s4l2n2bdl4n4m2masn;s4l2n2bdl4n4m2masn
s4l2n2cdl4fn4m2masn,S4l2n2cdl4fn4m2masn[g],X,,,,,,,,,,MNXM165136,s4l2n2cdl4fn4m2masn_g;M_s4l2n2cdl4fn4m2masn;s4l2n2cdl4fn4m2masn
s4l2n2cdl4n4m2masn,S4l2n2cdl4n4m2masn[g],X,,,,,,,,,,MNXM165137,s4l2n2cdl4n4m2masn_g;M_s4l2n2cdl4n4m2masn;s4l2n2cdl4n4m2masn
s4l3n3l4fn4m2masn,S4l3n3l4fn4m2masn[g],X,,,,,,,,,,MNXM165138,s4l3n3l4fn4m2masn_g;M_s4l3n3l4fn4m2masn;s4l3n3l4fn4m2masn
s4l3n3l4n4m2masn,S4l3n3l4n4m2masn[g],X,,,,,,,,,,MNXM165139,s4l3n3l4n4m2masn_g;M_s4l3n3l4n4m2masn;s4l3n3l4n4m2masn
s4l4fn4m2masn,S4l4fn4m2masn[g],X,,,,,,,,,,MNXM165140,s4l4fn4m2masn_g;M_s4l4fn4m2masn;s4l4fn4m2masn
s4l4n4m2masn,S4l4n4m2masn[g],X,,,,,,,,,,MNXM165141,s4l4n4m2masn_g;M_s4l4n4m2masn;s4l4n4m2masn
s4lnbl4fn4m2masn,S4lnbl4fn4m2masn[g],X,,,,,,,,,,MNXM165142,s4lnbl4fn4m2masn_g;M_s4lnbl4fn4m2masn;s4lnbl4fn4m2masn
s4lnbl4n4m2masn,S4lnbl4n4m2masn[g],X,,,,,,,,,,MNXM165143,s4lnbl4n4m2masn_g;M_s4lnbl4n4m2masn;s4lnbl4n4m2masn
s4lncl4fn4m2masn,S4lncl4fn4m2masn[g],X,,,,,,,,,,MNXM165144,s4lncl4fn4m2masn_g;M_s4lncl4fn4m2masn;s4lncl4fn4m2masn
s4lncl4n4m2masn,S4lncl4n4m2masn[g],X,,,,,,,,,,MNXM165145,s4lncl4n4m2masn_g;M_s4lncl4n4m2masn;s4lncl4n4m2masn
s4lndl4fn4m2masn,S4lndl4fn4m2masn[g],X,,,,,,,,,,MNXM165146,s4lndl4fn4m2masn_g;M_s4lndl4fn4m2masn;s4lndl4fn4m2masn
s4lndl4n4m2masn,S4lndl4n4m2masn[g],X,,,,,,,,,,MNXM165147,s4lndl4n4m2masn_g;M_s4lndl4n4m2masn;s4lndl4n4m2masn
s7p,Sedoheptulose 7-phosphate,C7H13O10P,288.147,15073;15074;15721;26621;4244;57483;9083,HMDB01068;HMDB62754,C05382,,cpd00238,D-SEDOHEPTULOSE-7-P,1325;1618,29882,MNXM271,s7p_c;M_s7p;s7p
sT_antigen,ST antigen g,C25H40N2O18X,,,,,,,,,,MNXM12937,sT_antigen_g;M_sT_antigen;sT_antigen
sTn_antigen,STn antigen g,,,,,G00035,,cpd21528,Sialyl-Tn-Antigen,,,MNXM12938,sTn_antigen_g;M_sTn_antigen;sTn_antigen
saccrp__L,L Saccharopine C11H19N2O6,C11H19N2O6,275.2789,12660;16927;21861;45721;57951;7406,HMDB00279;HMDB62698,C00449,,cpd00351,SACCHAROPINE,5096,30176,MNXM384,saccrp__L_c;M_saccrp__L;saccrp__L
sarcs,Sarcosine C3H7NO2,C3H7NO2,89.0932,10876;12609;15065;15611;21765;45381;45442;45531;45614;46842;46915;57433;9029,HMDB00271,C00213,,cpd00183,SARCOSINE,1976,5359017;6797917,MNXM300,sarcs_c;M_sarcs;sarcs
sbcoa,Suberyl-CoA; octadioyl-CoA,C29H43N7O19P3S,,,,,,,,,,MNXM163582,sbcoa_c;M_sbcoa;sbcoa
sbt__D,D-Sorbitol,C6H14O6,182.1718,12954;13020;15093;17220;17924;21091;26724;26726;30911;33795;33796;4246;45559;9201,HMDB00247,C00794;D00096,,cpd00588,SORBITOL,2148;2156,5652213,MNXM469,sbt__D_c;M_sbt__D;sbt__D
sdhlam,S-succinyldihydrolipoamide,C12H20NO4S2,306.422,12751;17432;22073;8971,HMDB01012;HMDB01177,C01169,,cpd00860,CPD0-341,,,MNXM3710,sdhlam_m;HC00695;M_HC00695;M_sdhlam;sdhlam
seahcys,Se-Adenosylselenohomocysteine,C14H20N6O5Se,,,,,,,,,,MNXM163574,seahcys_c;M_seahcys;seahcys
seasmet,Se-Adenosylselenomethionine,C15H23N6O5Se,446.34,62227;9066,HMDB11118,C05691,,cpd03392,,8065,5357652,MNXM3291,seasmet_c;M_seasmet;seasmet
sebacid,Sebacicacid,C10H16O4,,,,,,,,,,MNXM163575,sebacid_c;M_sebacid;sebacid
sebcoa,Sebacoyl Coenzyme A,C31H47N7O19P3S,946.7289999999999,76316;76345,,,,cpd16607,,,,MNXM10471,sebcoa_c;M_sebcoa;sebcoa
sel,Selenate,O4Se,142.96,15075;18170;26624;33490;9088,HMDB62761,C05697,,cpd03396,SELENATE,8071,5357662,MNXM2282,sel_c;M_sel;sel
selcys,Selenocysteine,C3H7NO2Se,168.05,13165;16633;21385;32742;32743;32744;32752;32753;32754;49562;57843;6298;9093,HMDB03288,C05688,,cpd01608;cpd03389;cpd27371,L-SELENOCYSTEINE,2415;2832,,MNXM727,selcys_c;M_selcys;selcys
selcyst,Selenocystathionine,C7H14N2O4Se,269.16,21384;27760;62226;6297,HMDB62527,C05699,,cpd03398;cpd05212;cpd29949,CPD-13717,,5357703,MNXM1837,selcyst_c;M_selcyst;selcyst
selhcys,Selenohomocysteine,C4H9NO2Se,182.08,26636;84850;9096,HMDB04119,C05698,,cpd03397,SELENOHOMOCYSTEINE,,5357702,MNXM2562,selhcys_c;M_selhcys;selhcys
selmeth,Selenomethionine,C5H11NO2Se,196.11,26638;27585;30021;47569;62621;9098,HMDB03966,C05335;D05816,,cpd03163,SELENOMETHIONINE,26091;2770,5357707,MNXM1676,selmeth_c;M_selmeth;selmeth
seln,Selenide,HSe,79.97,15076;16503;24638;29317;30485;47675;9089,HMDB11110,C01528,,cpd01078;cpd28148,CPD-678;SE-2,5640,5357660,MNXM92652,seln_c;M_seln;seln
selnp,Selenophosphate,O3PSe,157.93,15078;16144;29269;58618;9101,HMDB06407,C05172,,cpd03078,SEPO3,,,MNXM1339,selnp_c;M_selnp;selnp
ser__D,D-Serine,C3H7NO3,105.0926,13019;143888;16523;21090;32840;32841;35247;42262;4245,HMDB03406,C00740,,cpd00550,D-SERINE,2144,,MNXM694,ser__D_c;M_ser__D;ser__D
ser__L,L-Serine,C3H7NO3,105.0926,13167;15081;17115;17822;21387;26648;32836;32837;32845;32846;33384;35243;45440;45451;45590;45597;45677;6301;9116,HMDB00187;HMDB00589,C00065;C00716;D00016,,cpd00054;cpd30743,SER;Serines,2140;75,200736;352002;379732;8932979,MNXM53,ser__L_c;M_ser__L;ser__L
sgalside_cho,Sulfatide galactocerebroside,C24H45NO10SRCO,,,,,,,,,,MNXM163584,sgalside_cho_c;M_sgalside_cho;sgalside_cho
sl__L,Sl  L c,C3H4O6S,168.12599999999998,11050;16712;402;61289,HMDB60176,C11499,,cpd08338;cpd15906,CPD-11799,13564,,MNXM90148,sl__L_c;M_sl__L;sl__L
slfcys,S-Sulfo-L-cysteine,C3H6NO5S2,200.21400000000003,22075;27891;62225;8974,HMDB00731,C05824,,cpd03456,SULFO-CYSTEINE,8181,,MNXM2428,slfcys_c;M_scys__L;M_slfcys;scys__L;slfcys
so3,Sulfite,O3S,80.064,13367;15139;17137;17359;26837;29214;33543;45548;48854;5598;9344,HMDB00240;HMDB01033;HMDB03008;HMDB34829,C00094;C11481,,cpd00081,H2SO3;HSO3;SO3,3059,,MNXM105630,so3_c;M_so3;so3
so4,Sulfate,O4S,96.064,15135;16189;26836;29199;45687;45693;45696;9335,HMDB01448,C00059;D05963,,cpd00048;cpd29301,HSO4;SULFATE,1759,1606845;1609649;1614584;174375;427648,MNXM58,so4_c;M_so4;so4
spc_cho,Sphingosylphosphorylcholine,C23H50N2O5P,465.6267,15103;17689;26744;52897;58906;9226,,C03640,LMSP01060001,cpd02284,CPD-481,6757,,MNXM2033,spc_cho_c;M_spc_cho;spc_cho
sph1p,Sphinganine 1 phosphate C18H39NO5P,C18H39NO5P,380.4803,15100;16893;23767;57939;9222,HMDB01383,C01120,LMSP01050002,cpd00824,CPD-649,5393,428275,MNXM487,sph1p_c;M_sph1p;sph1p
sphgn,Sphinganine C18H40NO2,C18H40NO2,302.5152,15099;16566;26736;26737;549953;57817;9221,HMDB00269,C00836,LMSP01020001,cpd00623,CPD-13612;DIHYDRO-SPHINGOSINE,5264,,MNXM302,sphgn_c;M_sphgn;sphgn
sphings,Sphingosine cytosol,C18H38NO2,300.4993,15102;16393;207585;26738;26741;26743;46964;57756;9224,HMDB00252;HMDB62807,C00319,LMSP01010001,cpd00267,SPHINGOSINE,25670;25947;5042,,MNXM203,sphings_c
sphmyln_cho,Sphingomyelin betaine,C23H48N2O5PRCO,,,,,,,,,,MNXM162558,sphmyln_cho_c;M_sphmyln_cho;sphmyln_cho
sphs1p,Sphingosine 1-phosphate,C18H37NO5P,378.4644,26742;37550;60119;9225,HMDB00277;HMDB62531,C06124,LMSP01050001,cpd03651,CPD3DJ-11366,25946;8402,419305;428203,MNXM391,sphs1p_c
spmd,Spermidine,C7H22N3,148.268,15095;15097;16610;26732;26733;45647;57834;9218,HMDB01257,C00315,,cpd00264,SPERMIDINE,3088,141324;204635,MNXM124,spmd_c;M_spmd;spmd
sprm,Spermine C10H30N4,C10H30N4,206.3698,15098;15746;26734;45583;45725;9219,HMDB01256,C00750,,cpd00558,SPERMINE,3089,141342;353560,MNXM408,sprm_c;M_sprm;sprm
sql,Squalene C30H50,C30H50,410.718,10795;10843;15104;15440;26746;9245,HMDB00256,C00751,LMPR0106010002,cpd00559,SQUALENE,5212,191269,MNXM292,sql_c;M_sql;sql
srb__L,L Sorbose C6H12O6,C6H12O6,180.1559,13172;17266;21395,HMDB01266,C00247,,cpd00212,CPD-15616;L-sorbose,1509,,MNXM59041,srb__L_c;M_srb__L;srb__L
srtn,Serotonin,C10H13N2O,177.2225,1420;26652;28790;350546;49894,HMDB00259,C00780,,cpd00579,SEROTONIN,5234,114523;209914;380585,MNXM357,srtn_c;M_srtn;srtn
stcoa,Stearoyl-CoA (n-C18:0CoA),C39H66N7O17P3S,1029.9669999999999,15107;15541;26754;57394;9256,HMDB01114,C00412,LMFA07050369,cpd00327,STEAROYL-COA,5079,428139,MNXM272,stcoa_c;M_stcoa;M_strcoa;stcoa;strcoa
stcrn,Stearoylcarnitine,C25H49NO4,,,,,,,,,,MNXM9119,stcrn_c;M_stcrn;stcrn
strch1,"Starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]})",C66H112O56,,,,,,,,,,MNXM21840,strch1_e;M_strch1;strch1
strch2,"Starch, structure 2 (1,6-{2[1,4-Glc], [1,4-Glc]})",C18H32O16,,,,,,,,,,MNXM12953,strch2_e;M_strch2;strch2
strdnc,"Stearidonic acid C18:4, n-3",C18H27O2,,,,,,,,,,MNXM12955,strdnc_c;M_strdnc;strdnc
strdnccoa,Stearidonyl coenzyme A,C39H58N7O17P3S,,,,,,,,,,MNXM3361,strdnccoa_c;M_strdnccoa;strdnccoa
strdnccrn,Stearidonyl carnitine,C25H41NO4,,,,,,,,,,MNXM9118,strdnccrn_c;M_strdnccrn;strdnccrn
subeac,Suberic acid,C8H12O4,172.1796,132953;76282;9300,HMDB00837;HMDB00893,C08278,LMFA01170001,cpd05193,CPD0-1264,,,MNXM12964,subeac_c;M_subeac;subeac
succ,Succinate,C4H4O4,116.0733,15125;15741;22941;22943;26803;26807;30031;30779;45639;9304,HMDB00254,C00042,LMFA01170043,cpd00036,SUC,1924,113536;159939;29434;389583;433123;5278787,MNXM25,succ_c;M_succ;succ
